psalmtitle|Ps 137. Confitebor tibi|圣咏第137首|
dropcap|Confitébor tibi, Dómine, in toto corde meo: quóniam audísti verba oris mei.|主予以全心讚頌爾，蓋已俯聽予口諸語。|
verse|In conspéctu Angelórum psallam tibi: adorábo ad templum sanctum tuum, et confitébor nómini tuo.|衆神前稱頌爾，欽拜主聖殿而讚美主名。|
verse|Super misericórdia tua, et veritáte tua: quóniam magnificásti super omne, nomen sanctum tuum.|為主仁慈與真實，蓋已顯揚爾聖名于萬行之上。何曰呼號，主已俯聽我，增加德能于予靈。|
verse|In quacúmque die invocávero te, exáudi me: multiplicábis in ánima mea virtútem.|望遍地諸王讚美主，蓋已聽爾口諸語。|
verse|Confiteántur tibi, Dómine, omnes reges terræ: quia audiérunt ómnia verba oris tui: Et cantent in viis Dómini: quóniam magna est glória Dómini.|於主徑唱聖咏，蓋主榮乃大。|
verse|Quóniam excélsus Dóminus, et humília réspicit: et alta a longe cognóscit.|主崇巍而視微下者，高峻者遠識。若予居艱難中，主將活予。|
verse|Si ambulávero in médio tribulatiónis, vivificábis me: et super iram inimicórum meórum extendísti manum tuam, et salvum me fecit déxtera tua.|予讐敵怒中已伸爾手，主右手已救予。|
verse|Dóminus retríbuet pro me: Dómine, misericórdia tua in sǽculum: ópera mánuum tuárum ne despícias.|主為我復仇，勿忽爾掌之工。主爾仁慈於無窮。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
