psalmtitle|Ps 92. Dominus regnavit|圣咏第92首|
dropcap|Dóminus regnávit, decórem indútus est: indútus est Dóminus fortitúdinem, et præcínxit se. Étenim firmávit orbem terræ, qui non commovébitur.|主已王矣，衣美麗，衣勇德而自繫。|
verse|Paráta sedes tua ex tunc: a sǽculo tu es.|盖堅定宇宙，將不易動。|
verse|Elevavérunt flúmina, Dómine: elevavérunt flúmina vocem suam.|厥寶座自彼時備，厥自無始有主。江河已舉，江河已舉厥聲。|
verse|Elevavérunt flúmina fluctus suos, a vócibus aquárum multárum.|江河舉浪，由多水之衆聲。|
verse|Mirábiles elatiónes maris: mirábilis in altis Dóminus.|異哉海湧，主於諸高峻。|
verse|Testimónia tua credibília facta sunt nimis: domum tuam decet sanctitúdo, Dómine, in longitúdinem diérum.|異哉諸証，最為信真。厥宮宜為聖於無窮世。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
